"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4896","Maharashtra","Street lights","WS/MP18126/2025-2026/236328","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4897","Maharashtra","Street lights","WS/MP18126/2025-2026/236329","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4898","Maharashtra","Street lights","WS/MP18126/2025-2026/236330","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4899","Maharashtra","Street lights","WS/MP18126/2025-2026/236331","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4900","Maharashtra","Street lights","WS/MP18126/2025-2026/236149","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4901","Maharashtra","Street lights","WS/MP18126/2025-2026/236150","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4902","Maharashtra","Street lights","WS/MP18126/2025-2026/236148","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4903","Maharashtra","Street lights","WS/MP18126/2026-2027/256589","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4904","Maharashtra","Street lights","WS/MP18126/2025-2026/256590","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4905","Maharashtra","Street lights","WS/MP18126/2025-2026/236146","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4906","Maharashtra","Street lights","WS/MP18126/2026-2027/236147","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4907","Maharashtra","Street lights","WS/MP18126/2026-2027/256591","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4908","Maharashtra","Street lights","WS/MP18126/2025-2026/236142","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4909","Maharashtra","Street lights","WS/MP18126/2025-2026/236144","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4910","Maharashtra","Street lights","WS/MP18126/2025-2026/236145","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4911","Maharashtra","Street lights","WS/MP18126/2025-2026/236157","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4912","Maharashtra","Street lights","WS/MP18126/2025-2026/236158","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4913","Maharashtra","Street lights","WS/MP18126/2025-2026/236166","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4914","Maharashtra","Street lights","WS/MP18126/2025-2026/236167","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4915","Maharashtra","Street lights","WS/MP18126/2025-2026/236168","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4916","Maharashtra","Street lights","WS/MP18126/2025-2026/236169","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4917","Maharashtra","Street lights","WS/MP18126/2025-2026/236170","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4918","Maharashtra","Street lights","WS/MP18126/2025-2026/236171","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4919","Maharashtra","Street lights","WS/MP18126/2025-2026/236172","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4920","Maharashtra","Street lights","WS/MP18126/2025-2026/236173","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4921","Maharashtra","Street lights","WS/MP18126/2025-2026/236174","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4922","Maharashtra","Street lights","WS/MP18126/2025-2026/236160","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4923","Maharashtra","Street lights","WS/MP18126/2025-2026/236155","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4924","Maharashtra","Street lights","WS/MP18126/2025-2026/236156","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4925","Maharashtra","Street lights","WS/MP18126/2025-2026/236159","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4926","Maharashtra","Street lights","WS/MP18126/2025-2026/236161","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4927","Maharashtra","Street lights","WS/MP18126/2025-2026/236162","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4928","Maharashtra","Street lights","WS/MP18126/2025-2026/236163","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4929","Maharashtra","Street lights","WS/MP18126/2025-2026/236164","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4930","Maharashtra","Street lights","WS/MP18126/2025-2026/236165","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","16-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4931","Maharashtra","Street lights","WS/MP18126/2025-2026/256646","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4932","Maharashtra","Street lights","WS/MP18126/2025-2026/236151","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","15-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4933","Maharashtra","Street lights","WS/MP18126/2025-2026/236211","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4934","Maharashtra","Street lights","WS/MP18126/2025-2026/236212","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4935","Maharashtra","Street lights","WS/MP18126/2025-2026/236190","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4936","Maharashtra","Street lights","WS/MP18126/2025-2026/236205","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4937","Maharashtra","Street lights","WS/MP18126/2025-2026/236209","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4938","Maharashtra","Street lights","WS/MP18126/2025-2026/236210","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4939","Maharashtra","Street lights","WS/MP18126/2025-2026/236206","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4940","Maharashtra","Street lights","WS/MP18126/2025-2026/236207","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4941","Maharashtra","Street lights","WS/MP18126/2025-2026/236208","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4942","Maharashtra","Street lights","WS/MP18126/2025-2026/236220","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4943","Maharashtra","Street lights","WS/MP18126/2025-2026/236204","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4944","Maharashtra","Street lights","WS/MP18126/2025-2026/236202","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4945","Maharashtra","Street lights","WS/MP18126/2025-2026/236219","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4946","Maharashtra","Street lights","WS/MP18126/2025-2026/236201","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4947","Maharashtra","Street lights","WS/MP18126/2025-2026/236203","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4948","Maharashtra","Street lights","WS/MP18126/2025-2026/236186","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4949","Maharashtra","Street lights","WS/MP18126/2025-2026/236187","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4950","Maharashtra","Street lights","WS/MP18126/2025-2026/236218","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4951","Maharashtra","Street lights","WS/MP18126/2025-2026/236213","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4952","Maharashtra","Street lights","WS/MP18126/2025-2026/236184","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4953","Maharashtra","Street lights","WS/MP18126/2025-2026/236185","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4954","Maharashtra","Street lights","WS/MP18126/2025-2026/236188","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4955","Maharashtra","Street lights","WS/MP18126/2025-2026/236214","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4956","Maharashtra","Street lights","WS/MP18126/2025-2026/236189","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4957","Maharashtra","Street lights","WS/MP18126/2025-2026/236215","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4958","Maharashtra","Street lights","WS/MP18126/2025-2026/236217","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4959","Maharashtra","Street lights","WS/MP18126/2025-2026/236191","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4960","Maharashtra","Street lights","WS/MP18126/2025-2026/236192","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4961","Maharashtra","Street lights","WS/MP18126/2025-2026/236193","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4962","Maharashtra","Street lights","WS/MP18126/2025-2026/236216","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4963","Maharashtra","Street lights","WS/MP18126/2025-2026/236195","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4964","Maharashtra","Street lights","WS/MP18126/2025-2026/236196","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4965","Maharashtra","Street lights","WS/MP18126/2025-2026/236194","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4966","Maharashtra","Street lights","WS/MP18126/2025-2026/236197","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4967","Maharashtra","Street lights","WS/MP18126/2025-2026/236198","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4968","Maharashtra","Street lights","WS/MP18126/2025-2026/236199","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4969","Maharashtra","Street lights","WS/MP18126/2025-2026/236200","NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","20-Jul-2026","SWAMI POWERTECH","Payment Success","169529"
"4970","Maharashtra","Street lights","WS/MP18126/2025-2026/236267","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4971","Maharashtra","Street lights","WS/MP18126/2025-2026/236268","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4972","Maharashtra","Street lights","WS/MP18126/2025-2026/236269","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4973","Maharashtra","Street lights","WS/MP18126/2025-2026/236259","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4974","Maharashtra","Street lights","WS/MP18126/2025-2026/236260","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4975","Maharashtra","Street lights","WS/MP18126/2025-2026/236261","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4976","Maharashtra","Street lights","WS/MP18126/2025-2026/236262","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4977","Maharashtra","Street lights","WS/MP18126/2025-2026/236263","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4978","Maharashtra","Street lights","WS/MP18126/2025-2026/236250","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4979","Maharashtra","Street lights","WS/MP18126/2025-2026/236251","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4980","Maharashtra","Street lights","WS/MP18126/2025-2026/236252","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4981","Maharashtra","Street lights","WS/MP18126/2025-2026/236253","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4982","Maharashtra","Street lights","WS/MP18126/2025-2026/236254","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4983","Maharashtra","Street lights","WS/MP18126/2025-2026/236255","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4984","Maharashtra","Street lights","WS/MP18126/2025-2026/236257","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
"4985","Maharashtra","Street lights","WS/MP18126/2025-2026/236258","DHULE(DISTRICT COLLECTOR DHULE_IDA)","ADV GOWAAL KAGADA PADAVI","NANDURBAR(ST)","30-Jul-2026","SWAMI POWERTECH","Payment Success","169530"
